country_asylum,country_origin,year,month,affected
Canada,Switzerland,1999,March,1
Norway,Switzerland,1999,October,3
USA (EOIR),Switzerland,1999,October,1
Austria,Switzerland,2000,April,1
Canada,Switzerland,2000,August,1
Canada,Switzerland,2000,November,1
Germany,Switzerland,2000,February,1
Germany,Switzerland,2000,April,1
Germany,Switzerland,2000,May,1
Germany,Switzerland,2000,October,1
Netherlands,Switzerland,2000,June,1
USA (EOIR),Switzerland,2000,July,4
Canada,Switzerland,2001,August,1
Australia,Switzerland,2002,January,1
Australia,Switzerland,2002,July,2
Austria,Switzerland,2002,March,1
Canada,Switzerland,2002,January,1
Canada,Switzerland,2002,March,1
Canada,Switzerland,2002,June,3
Liechtenstein,Switzerland,2002,January,1
USA (EOIR),Switzerland,2002,February,1
USA (EOIR),Switzerland,2002,June,1
Canada,Switzerland,2003,May,1
Korea,Switzerland,2003,August,1
Canada,Switzerland,2004,December,1
Czech Rep,Switzerland,2004,November,1
Liechtenstein,Switzerland,2004,April,1
Netherlands,Switzerland,2004,March,1
Netherlands,Switzerland,2004,September,1
Austria,Switzerland,2005,April,1
Canada,Switzerland,2005,February,1
Canada,Switzerland,2005,November,2
Germany,Switzerland,2005,January,1
Spain,Switzerland,2005,December,1
USA (INS/DHS),Switzerland,2005,March,1
Canada,Switzerland,2006,June,4
Canada,Switzerland,2006,July,2
USA (EOIR),Switzerland,2006,June,1
Australia,Switzerland,2007,July,1
Canada,Switzerland,2007,December,1
Liechtenstein,Switzerland,2007,October,1
Sweden,Switzerland,2007,May,1
Sweden,Switzerland,2007,October,1
Australia,Switzerland,2008,June,1
Canada,Switzerland,2008,May,2
Canada,Switzerland,2008,July,2
Germany,Switzerland,2008,July,1
Switzerland,Switzerland,2008,May,1
USA (INS/DHS),Switzerland,2008,April,2
Canada,Switzerland,2009,January,1
Canada,Switzerland,2009,February,3
Canada,Switzerland,2009,March,3
Canada,Switzerland,2009,August,1
Netherlands,Switzerland,2009,September,1
Switzerland,Switzerland,2009,June,2
Switzerland,Switzerland,2009,July,1
Switzerland,Switzerland,2009,August,1
Austria,Switzerland,2010,July,1
Canada,Switzerland,2010,January,3
Canada,Switzerland,2010,August,1
Canada,Switzerland,2010,September,3
Italy,Switzerland,2010,July,1
Norway,Switzerland,2010,July,2
Switzerland,Switzerland,2010,July,1
USA (EOIR),Switzerland,2010,September,1
Canada,Switzerland,2011,September,2
Canada,Switzerland,2011,October,1
Switzerland,Switzerland,2011,April,1
USA (INS/DHS),Switzerland,2011,July,1
USA (EOIR),Switzerland,2011,April,1
Canada,Switzerland,2012,May,2
Canada,Switzerland,2012,July,1
Netherlands,Switzerland,2012,November,1
New Zealand,Switzerland,2012,September,5
Netherlands,Switzerland,2013,March,1
Luxembourg,Switzerland,2014,July,7
Canada,Switzerland,2014,September,1
Canada,Switzerland,2014,November,1
USA (INS/DHS),Switzerland,2014,April,1
Germany,Switzerland,2014,July,1
Luxembourg,Switzerland,2014,July,7
USA (INS/DHS),Switzerland,2014,April,1
Iceland,Switzerland,2015,February,2
Malta,Switzerland,2015,December,1
Belgium,Switzerland,2015,June,1
Canada,Switzerland,2015,February,4
USA (INS/DHS),Switzerland,2015,March,1
Iceland,Switzerland,2015,February,2
Malta,Switzerland,2015,December,1
USA (INS/DHS),Switzerland,2015,March,1
Canada,Switzerland,2016,October,1
Canada,Switzerland,2016,November,1
Denmark,Switzerland,2018,February,*
Finland,Switzerland,2016,November,1
Germany,Switzerland,2017,February,*
Germany,Switzerland,2017,July,*
Japan,Switzerland,2017,August,*
Luxembourg,Switzerland,2016,January,1
Norway,Switzerland,2016,January,1
USA (INS/DHS),Switzerland,2016,May,1
USA (INS/DHS),Switzerland,2016,June,1
USA (INS/DHS),Switzerland,2016,October,1
USA (INS/DHS),Switzerland,2017,May,*
USA (INS/DHS),Switzerland,2018,January,*
USA (INS/DHS),Switzerland,2018,February,*
USA (INS/DHS),Switzerland,2018,August,*
